Date,Store_ID,Product_Category,Sales_Amount,Is_Holiday,Has_Promotion,Customer_Footfall
2023-06-19,1,Clothing,1773.94,0,0,378.0
2024-10-20,2,Groceries,9233.82,0,0,1032.0
2024-08-09,2,Groceries,8427.31,0,0,697.0
2025-07-26,3,Electronics,8344.48,0,0,338.0
2024-06-05,5,Clothing,3117.3,0,0,858.0
2025-06-20,2,Electronics,6413.39,0,1,1060.0
2025-07-15,3,Toys,3491.86,0,0,948.0
2025-09-28,1,Clothing,4654.62,0,0,867.0
2025-04-01,1,Clothing,3355.51,0,0,839.0
2026-03-07,4,Clothing,3094.69,0,0,548.0
2025-03-21,3,Electronics,4189.23,0,0,597.0
2025-12-23,5,Clothing,6431.0,0,0,368.0
2024-10-28,4,Toys,2801.32,0,0,810.0
2025-07-01,4,Toys,5297.18,0,1,424.0
2025-03-04,1,Electronics,5218.09,0,0,353.0
2023-08-20,1,Clothing,3340.42,0,0,244.0
2023-04-14,5,Groceries,8130.1,0,0,365.0
2024-01-29,1,Electronics,3807.96,0,0,212.0
2024-06-01,3,Electronics,5182.12,0,0,572.0
2025-03-17,1,Groceries,8531.57,0,0,602.0
2024-04-07,4,Electronics,6969.49,0,0,1101.0
2025-12-05,3,Toys,6687.05,0,1,841.0
2023-11-24,1,Groceries,9619.47,0,0,482.0
2025-12-05,2,Groceries,9749.69,0,0,714.0
2023-07-23,3,Electronics,7016.64,0,0,1185.0
2026-01-10,1,Groceries,8624.89,0,0,1170.0
2026-02-25,3,Toys,3885.1,0,0,427.0
2025-12-25,1,Clothing,4404.96,0,0,350.0
2025-06-22,3,Clothing,3646.38,0,0,288.0
2026-03-26,1,Home & Kitchen,2234.15,0,0,541.0
2025-12-21,3,Toys,4089.31,0,0,412.0
2024-06-01,3,Home & Kitchen,4847.49,0,0,572.0
2024-03-13,4,Home & Kitchen,4236.37,0,0,396.0
2023-12-08,1,Home & Kitchen,4381.53,0,0,849.0
2024-04-24,2,Groceries,7939.58,0,0,234.0
2024-10-25,4,Electronics,4818.29,0,0,327.0
2025-10-07,3,Clothing,1994.01,0,0,913.0
2024-11-21,1,Clothing,7769.54,1,0,439.0
2026-01-08,4,Clothing,4182.06,0,0,903.0
2024-12-09,3,Groceries,9876.28,0,0,617.0
2023-06-15,1,Toys,4412.88,0,0,456.0
2026-03-19,3,Electronics,5956.47,0,0,750.0
2025-09-29,5,Toys,2869.67,0,0,368.0
2025-10-12,5,Home & Kitchen,3085.07,0,0,961.0
2025-05-03,3,Clothing,3478.39,0,0,1024.0
2025-05-11,4,Home & Kitchen,4783.04,0,0,746.0
2023-11-02,4,Home & Kitchen,4643.13,0,0,304.0
2025-01-23,2,Electronics,5704.93,0,0,723.0
2023-09-18,2,Clothing,6322.37,0,1,568.0
2024-11-10,3,Electronics,10968.42,0,1,331.0
2025-07-25,4,Groceries,9179.03,0,0,628.0
2024-12-10,3,Groceries,12132.54,0,0,406.0
2024-12-12,4,Toys,5865.98,0,1,676.0
2025-03-28,1,Toys,3020.87,0,0,279.0
2026-01-27,3,Groceries,7703.22,0,0,703.0
2024-03-26,2,Clothing,3043.75,0,0,703.0
2025-06-10,4,Toys,3827.06,0,0,292.0
2023-06-27,4,Toys,4928.57,0,0,233.0
2025-01-10,1,Home & Kitchen,4105.27,0,0,422.0
2025-11-05,2,Home & Kitchen,6126.8,0,1,979.0
2024-03-19,3,Groceries,9493.21,0,0,886.0
2025-09-27,1,Electronics,6432.42,0,0,273.0
2023-12-09,3,Home & Kitchen,3807.6,0,0,693.0
2023-05-30,2,Clothing,2634.36,0,0,633.0
2025-11-18,4,Home & Kitchen,6044.3,0,1,946.0
2024-09-18,2,Home & Kitchen,4376.43,0,0,680.0
2024-06-15,1,Groceries,12217.4,0,0,414.0
2024-09-27,1,Clothing,3828.89,0,0,528.0
2023-04-16,3,Home & Kitchen,3821.52,0,0,330.0
2025-04-24,3,Clothing,3746.21,0,0,702.0
2026-02-15,4,Toys,2452.67,0,0,980.0
2023-12-08,3,Electronics,11872.04,0,1,1069.0
2025-07-15,5,Clothing,4905.98,0,0,261.0
2024-02-20,1,Clothing,2814.17,0,0,271.0
2024-01-26,4,Home & Kitchen,4943.24,0,1,430.0
2024-06-14,5,Groceries,7905.8,0,0,690.0
2024-08-13,3,Home & Kitchen,4810.35,0,1,456.0
2024-02-06,5,Clothing,3467.35,0,0,628.0
2026-03-17,5,Home & Kitchen,2611.0,0,0,626.0
2024-09-25,5,Home & Kitchen,2977.08,0,0,715.0
2023-10-19,1,Home & Kitchen,3241.77,0,0,268.0
2025-02-21,1,Toys,2144.83,0,0,290.0
2026-01-21,3,Groceries,8400.69,0,0,206.0
2024-09-02,2,Groceries,11431.56,0,1,608.0
2023-07-04,3,Clothing,3655.26,0,1,763.0
2024-06-16,3,Toys,5175.06,0,0,531.0
2025-02-21,2,Toys,4082.51,0,0,487.0
2023-10-13,3,Toys,2988.05,0,0,508.0
2025-09-27,5,Toys,3348.99,0,0,510.0
2025-01-16,3,Groceries,8732.15,0,0,444.0
2024-12-02,4,Toys,4091.56,0,0,664.0
2024-08-08,2,Home & Kitchen,3847.08,0,0,303.0
2024-03-08,4,Toys,2553.14,0,0,351.0
2025-11-02,4,Toys,2715.5,0,0,578.0
2025-09-08,3,Clothing,4693.85,0,1,507.0
2024-02-21,2,Home & Kitchen,2826.35,0,0,277.0
2024-04-06,3,Toys,3213.5,0,1,1285.0
2025-06-10,1,Home & Kitchen,4242.37,0,0,233.0
2024-07-28,2,Groceries,9330.48,0,0,
2023-06-13,2,Groceries,7228.64,0,0,572.0
2025-07-04,4,Electronics,4423.3,0,0,840.0
2026-01-22,1,Clothing,3318.69,0,0,662.0
2025-10-27,1,Clothing,3108.91,0,0,731.0
2025-01-05,4,Home & Kitchen,5205.13,0,0,1062.0
2025-09-20,4,Groceries,10771.29,0,0,979.0
2026-02-07,3,Home & Kitchen,3291.26,0,0,1083.0
2025-06-28,1,Electronics,5594.79,0,0,1102.0
2023-07-23,1,Home & Kitchen,2708.15,0,0,1027.0
2025-03-07,2,Clothing,3151.35,0,0,333.0
2026-02-23,4,Toys,3458.37,0,0,759.0
2023-04-26,5,Groceries,6901.31,0,0,935.0
2025-10-06,2,Electronics,5072.9,0,0,371.0
2025-05-04,4,Groceries,15262.9,0,1,720.0
2023-12-23,4,Groceries,10537.84,0,0,633.0
2024-12-01,5,Clothing,4776.42,0,0,428.0
2026-02-07,2,Clothing,3223.64,0,1,468.0
2025-08-11,5,Clothing,2255.71,0,0,843.0
2023-06-26,2,Toys,5684.53,1,0,425.0
2025-06-09,2,Clothing,3464.14,0,0,887.0
2024-06-09,1,Clothing,5917.42,0,0,982.0
2025-04-08,3,Home & Kitchen,7688.35,1,1,1594.0
2026-03-31,4,Groceries,7677.99,0,0,373.0
2024-01-13,2,Home & Kitchen,4864.77,0,0,286.0
2024-11-07,1,Home & Kitchen,1997.09,0,0,434.0
2026-03-08,1,Electronics,4432.69,0,0,772.0
2025-01-19,3,Toys,3259.36,0,1,1029.0
2025-08-21,3,Groceries,10409.5,1,0,362.0
2025-02-09,2,Groceries,15150.37,0,1,923.0
2024-05-16,5,Clothing,4078.07,0,0,721.0
2026-02-28,4,Electronics,8991.94,0,1,329.0
2024-07-24,1,Groceries,13281.86,0,1,342.0
2024-05-27,1,Electronics,4133.2,0,1,571.0
2023-09-02,2,Electronics,5806.91,0,0,436.0
2025-02-01,1,Clothing,509.66,0,0,967.0
2024-07-24,4,Clothing,2541.64,0,0,840.0
2025-11-02,3,Electronics,10878.49,0,0,1059.0
2024-01-11,5,Electronics,3667.7,0,0,224.0
2024-11-24,5,Toys,4469.65,0,0,939.0
2023-12-27,5,Groceries,17056.01,0,1,
2026-03-12,2,Toys,2968.23,0,0,678.0
2024-06-24,1,Electronics,6400.15,0,0,784.0
2024-08-18,3,Home & Kitchen,4657.33,0,0,958.0
2023-07-03,1,Electronics,5731.56,0,0,749.0
2025-04-10,1,Toys,2953.98,0,0,633.0
2023-09-21,5,Groceries,7590.0,0,0,845.0
2024-03-20,3,Clothing,4066.26,0,0,848.0
2025-07-19,4,Clothing,2977.73,0,0,418.0
2024-04-23,3,Electronics,2487.46,0,0,947.0
2025-05-20,5,Groceries,7992.34,0,0,748.0
2024-09-19,3,Groceries,8083.05,0,0,307.0
2024-04-04,4,Toys,3512.69,0,0,893.0
2023-08-02,5,Groceries,8593.6,0,0,322.0
2024-11-26,4,Electronics,8227.86,0,0,250.0
2025-08-10,3,Groceries,15524.71,0,1,
2024-03-17,5,Clothing,3482.97,0,0,471.0
2025-08-08,1,Clothing,4649.62,0,0,420.0
2024-10-15,5,Groceries,6955.97,0,0,432.0
2026-02-09,1,Groceries,7316.8,0,0,964.0
2025-12-03,4,Groceries,11509.73,0,0,236.0
2025-05-19,5,Toys,3721.51,0,0,993.0
2024-10-06,5,Home & Kitchen,4019.58,0,1,544.0
2024-07-10,3,Electronics,7212.42,0,0,451.0
2024-04-12,4,Clothing,2931.42,0,0,816.0
2025-07-01,3,Electronics,4989.24,0,0,665.0
2024-04-24,4,Groceries,7632.62,0,0,214.0
2025-12-31,2,Toys,3647.16,0,0,534.0
2024-04-22,2,Clothing,3869.2,0,0,216.0
2023-11-09,3,Electronics,5375.86,0,0,663.0
2023-07-14,4,Clothing,2897.16,0,0,828.0
2024-07-20,3,Toys,4629.16,0,0,702.0
2025-05-31,4,Home & Kitchen,2722.99,0,0,1108.0
2023-12-15,2,Toys,4289.59,0,0,719.0
2025-06-07,5,Toys,3347.18,0,0,818.0
2023-07-16,3,Groceries,11439.84,0,0,312.0
2023-11-08,2,Clothing,4280.95,0,0,981.0
2023-09-19,5,Electronics,5351.94,0,0,231.0
2025-02-16,5,Groceries,9335.76,0,0,634.0
2025-10-03,3,Clothing,4128.3,0,0,402.0
2025-06-08,3,Groceries,10520.69,0,0,1131.0
2023-08-22,2,Home & Kitchen,2688.22,0,0,911.0
2023-04-24,4,Clothing,4646.38,0,0,578.0
2026-03-22,5,Groceries,14151.83,1,0,1258.0
2026-03-04,1,Electronics,3489.76,0,0,638.0
2024-05-06,2,Groceries,8017.52,0,0,405.0
2025-11-27,1,Electronics,4481.73,0,0,245.0
2024-11-25,4,Electronics,4678.74,0,0,570.0
2024-04-20,5,Electronics,7205.27,0,0,420.0
2024-12-16,1,Toys,2572.77,0,0,480.0
2025-04-18,2,Toys,2836.6,0,0,749.0
2024-08-11,1,Home & Kitchen,3256.25,0,0,1170.0
2026-02-03,1,Groceries,8267.75,0,0,543.0
2025-10-02,3,Home & Kitchen,5778.24,0,1,484.0
2026-03-19,5,Electronics,5327.28,0,0,729.0
